"Title","Profile Link","Department","Designation","Qualification","Research Interests","Profile Image"
"Neena Gupta","https://pec.ac.in/neena-gupta","Department of Electronics & Communication Engineering","Professor & Head","BE, ME , PhD","Communication Engg, Optical Communication, wireless Communication","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/neena.jpg?itok=_e4qEm_6"
"Rita Mahajan","https://pec.ac.in/rita-mahajan","Department of Electronics & Communication Engineering","Assistant Professor","M.E. (Electronics), PhD","Communication,VLSI Design.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rita.jpg?itok=f-jIj6uc"
"Sukhwinder Singh","https://pec.ac.in/sukhwinder-singh","Department of Electronics & Communication Engineering","Senior Assistant Professor","B.Tech, M.E.,,Ph.D","Machine Vision , Image Processing,Embedded System","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sukhwinder.jpg?itok=JLlBoL4i"
"Anshul Kumar","https://pec.ac.in/ece/anshul-kumar","Department of Electronics & Communication Engineering","Assistant Professor (Contract)","M.E., B.Tech Electronics","Digital image Processing, Optical Communication","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Anshul.JPG?itok=JEg64Ue6"
"Kalpana Lamba","https://pec.ac.in/ece/kalpana-lamba","Department of Electronics & Communication Engineering","Assistant Professor (Contract)","M.Tech, B.E. Electronics","Wireless Sensor Network, Digital Communication","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/kalpana_lamba.jpg?itok=Zht6CVGK"
"Achitanand Dubey","https://pec.ac.in/achitanand-dubey","Department of Mechanical Engineering","Assistant Professor","M.Tech (Mechanical & Industrial Engineering) IIT Roorkee (Pursuing Ph.D under QIP in IIT Roookee)","Product Design and Developement , Manufacturing & Quality Engineering.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/achitanand.jpg?itok=w5cF_vb-"
"Alakesh Manna","https://pec.ac.in/alakesh-manna","Department of Mechanical Engineering","Professor","Ph.D","Micro manufacturing, Nanofinishing, Traditional, Non-traditional, Hybrid and Micro Machining, Fabrication of Composite and Ceramics.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/alakesh.jpg?itok=5vFoy-oU"
"D R Prajapati","https://pec.ac.in/d-r-prajapati","Department of Mechanical Engineering","Professor","Ph. D. (PU, Chd.), M. Tech.(IITD), B. E. (APSU, REWA-MP)","Quality Management, Production & Opeartion Management, Industrial Engg. etc.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/drprajapati.jpg?itok=bThWtE-Z"
"Gurjeet Singh","https://pec.ac.in/gurjeet-singh","Department of Mechanical Engineering","Assistant Professor","Ph.D(Thermal Engineering), M.Tech.(Thermal Engineering), B.E. (Mechanical)","• Heat Transfer & Fluid Dynamics • Computational Fluid Dynamics • Energy, Exergy and Exergoeconomics • Thermodynamics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/GURJEET%20SINGH-3.jpg?itok=-j0o5ZT9"
"Kamal Kumar","https://pec.ac.in/kamal-kumar-0","Department of Mechanical Engineering","Assistant Professor","Ph.D.","Advance Manufacturing Processes, EDM, WEDM, Bio-compatible and Biodegradable Metallic Materials","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Kamal%20pic.jpg?itok=P_n6IC20"
"P S Satsangi","https://pec.ac.in/p-s-satsangi","Department of Mechanical Engineering","Professor","Ph.D","Adv. Manufacturing Process, Production and Operations Management, Maintenance Engg.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/pssatsangi.jpg?itok=eZpoFdmD"
"Perminderjit Singh","https://pec.ac.in/perminderjit-singh","Department of Mechanical Engineering","Professor","Ph.D","Environmentally conscious manufacturing , Thermal Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/parminderjit.jpg?itok=hna0I7fm"
"Rajesh Kumar Kanda","https://pec.ac.in/rajesh-kumar-kanda","Department of Mechanical Engineering","Associate Professor","B.E. Mechanical, GOLD MEDAL, P.U. Chandigarh, M.E. Mechanical, GOLD MEDAL, P.U. Chandigarh, Ph.D","Ergonomics, Mechanical Design","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rajesh_kanda.jpg?itok=PmVM9rd2"
"Rakesh Kumar Dang","https://pec.ac.in/rakesh-kumar-dang","Department of Mechanical Engineering","Associate professor","M.Tech.","Thermal Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rakesh_0.jpg?itok=iTJWwiYb"
"S K Soni","https://pec.ac.in/s-k-soni","Department of Mechanical Engineering","Associate professor","M.Tech.","Solar Energy, Thermal Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sksoni.jpg?itok=iL4n2Mcm"
"Sandeep Selodkar","https://pec.ac.in/sandeep-selodkar","Department of Mechanical Engineering","Assistant Professor (on lien)","Ph.D.","CAD/CAM, Manufacturing","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sandeep.jpg?itok=P0FcrPN_"
"Sanjay Kumar Mangal","https://pec.ac.in/sanjay-kumar-mangal","Department of Mechanical Engineering","Professor & Head","B.E. Production Engg. (Hons), M.E. (Mech.), Ph.D.","Semi-active Vibration Control, F.E.M. in Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sanjay.jpg?itok=1EZYUY28"
"Sanjeev Kumar","https://pec.ac.in/sanjeev-kumar-0","Department of Mechanical Engineering","Professor","Ph.D","Advanced Manufacturing, Material Science","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sanjeev_1.jpg?itok=MxjTNPL3"
"Sarabjit Singh","https://pec.ac.in/sarabjit-singh","Department of Mechanical Engineering","Associate Professor","Ph.D.","Conventional and Unconventional processing of Composites, Metal matrix composites, welding technology, Simulation using ansys and abaqus","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/IMG_20190516_153729-01.jpeg?itok=NLd04h6v"
"Sushant Samir","https://pec.ac.in/sushant-samir","Department of Mechanical Engineering","Professor","Ph.D, M.E., B.E.","Thermal , I.C Engine and Automobile Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/SSAMIR.jpg?itok=kxIMi8NM"
"Tejbir Kaur","https://pec.ac.in/tejbir-kaur","Department of Mechanical Engineering","Assistant Professor","M.Tech.","Vibration and Control, Automation & Robotics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/tejbir.jpg?itok=8ajvzfsB"
"Dr. J D Sharma","https://pec.ac.in/dr-j-d-sharma","Department of Metallurgical and Materials Engineering","Associate Professor","BE – Metallurgy ME – Industrial Materials & Metallurgy, Ph.D.","Management for Metallurgical Process waste, Transparent Ceramics, Conducting Ceramics and Thin Films, Materials Degradation and Selection, High Strain Rate Materials","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jdsharma.jpg?itok=754D7RRD"
"Dr. Mamta Sharma","https://pec.ac.in/metta/dr-mamta-sharma","Department of Metallurgical and Materials Engineering","Assistant Professor (on contract)","M.Sc. (Physics), M.Tech (Materials Science & Technology), Ph.D.","Physical Metallurgy, Heat Treatment, Materials development","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Untitled_0.jpg?itok=052BdBgm"
"Dr. Rajiv Kumar","https://pec.ac.in/metta/dr-rajiv-kumar","Department of Metallurgical and Materials Engineering","Assistant Professor","B.Tech. (Metallurgical & Materials Engineering-NIT DGP), M.Tech. (Materials Science and Engineering-IITK), Ph.D. (IIT Bombay and Monash University, Australia)","Powder metallurgy, High-temperature oxidation, Corrosion, Synthesis and characterization of bulk nanocrystalline materials,High entropy alloys, Microstructure Characterization, Mechanical behaviour of metals and alloys","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Rajiv.png?itok=81MAP315"
"Dr. Ranvir Singh Panwar","https://pec.ac.in/metta/dr-ranvir-singh-panwar","Department of Metallurgical and Materials Engineering","Assistant Professor (on contract)","M.Tech. (Materials Science & Engg.), Ph.D.","Composite Materials, Tribological Behavior of Materials, Metal Foam Development, Nano Materials","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Untitled.jpg?itok=niNqWRrM"
"Dr. Ravi Kant","https://pec.ac.in/metta/dr-ravi-kant","Department of Metallurgical and Materials Engineering","Assistant Professor (on contract)","Ph.D.","Composite materials, nano materials and wear","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Untitled_1.jpg?itok=qtTTqGY_"
"Dr. Sandan Kumar Sharma","https://pec.ac.in/metta/sandan-kumar-sharma","Department of Metallurgical and Materials Engineering","Assistant Professor (on contract)","B.Tech. (Mechanical Engineering), M.Tech. (Metallurgical & Materials Engineering, IIT Roorkee), Ph.D. (Metallurgical & Materials Engineering, IIT Roorkee), Post Doctorate (University of Ljubljana, Slovenia, Europe)","Processing of Advanced Structural Ceramics, Tribology of Materials, Spark Plasma Sintering, Nano Composite Materials","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Sandan%20Sharma6.jpg?itok=GMFbQBDb"
"Dr. Sumit Bhardwaj","https://pec.ac.in/metta/dr-sumit-bhardwaj","Department of Metallurgical and Materials Engineering","Assistant Professor (on contract)","M.Tech. (Materials & Metallurgical Engg.), Ph.D. (Materials Science & Engineering)","Polymer nanocomposite Materials,Multiferroic materials, Ceramics, Nano Technology","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Sumit.jpg?itok=mgX62lJI"
"Dr. Uma Batra","https://pec.ac.in/metta/dr-uma-batra","Department of Metallurgical and Materials Engineering","Professor & Head","B.E. (Metallurgy), M.Tech. (Metallurgy), PhD (Metallurgy)","Structure-Property Correlation, Austempered Ductie Iron, Failure Analysis, Biomaterials, Ti-Alloy Bio Implants, Lead free Solder Development","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Uma%20photo%202016.jpg?itok=VrV7ltrZ"
"R K Mahajan","https://pec.ac.in/metta/r-k-mahajan","Department of Metallurgical and Materials Engineering","Assistant Professor","M.E. (Industrial Materials & Metallurgy), B.Sc. Engineering (Honors)","Industrial Waste Management and its Judicious/Effective Usage, Foundry, Forging, Heat Treatment, Cast Irons, Failure Analysis/Case Studies, Steel Melting","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/touploadRKMahajan.jpg?itok=03tsBNMc"
"Suresh Chand","https://pec.ac.in/metta/suresh-chand","Department of Metallurgical and Materials Engineering","Assistant Professor","B.Tech. (Metallurgical & Materials Engineering-NITD), M.Tech. (Materials Science and Engineering-IITK)","Brazing of metals (e.g: Ti and its alloys), Bulkultrafine nanostructured materials produced by ball milling and severe plastic deformation processes, structure - property relationship of materials, Electron microscopy, Aging and recrystallization of metals, Mechanical behavior of materials, Development of alloys (e.g. Al, Ag. Ti) for brazing applications, Modeling and Simulation of metallurgical processes","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/profile%20photo.JPG?itok=gPZ0FINA"
"C S Jawalkar","https://pec.ac.in/c-s-jawalkar","Department of Production & Industrial Engineering","Associate Professor","ME, MBA, Ph.D. (IIT-R)","Advanced Manufacturing and Industrial Management, Machining Technology","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jawalkar.jpg?itok=kPNmc5OC"
"Dina Nath","https://pec.ac.in/dina-nath","Department of Production & Industrial Engineering","Associate Superintendent","BE Mechanical (PEC)","Design of Jig and Fixtures","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/dina_nath.jpg?itok=Npsw7OqK"
"Jagjit Singh","https://pec.ac.in/jagjit-singh","Department of Production & Industrial Engineering","Assistant Professor","PhD (PEC University of Tech.)","Human Engineering, Industrial design, Welding engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jagjit.jpg?itok=gmalawSv"
"M. M. Goud","https://pec.ac.in/m-m-goud","Department of Production & Industrial Engineering","Associate professor","Ph. D. (IIT Roorkee)","Non-conventional machining","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Passport.JPG%20%28final%29.jpg?itok=mLpFZa-S"
"N M Suri","https://pec.ac.in/n-m-suri","Department of Production & Industrial Engineering","Professor","Ph.D (IIT D), M.Tech. (IIT R)","Welding Engineering, Casting, Composite Fabrication Al/Mg alloys casting","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/nmsuri.jpg?itok=oJJ_azNG"
"Parveen Kalra","https://pec.ac.in/parveen-kalra","Department of Production & Industrial Engineering","Professor","M.Eng., PhD","Human Engineering, Industrial Design, CAD/CAM, Robotics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/parveen.jpg?itok=bf7ouwMp"
"R.O. Vaishya","https://pec.ac.in/ro-vaishya","Department of Production & Industrial Engineering","Assistant Professor","Ph.D, PEC University of Technology","Abrasive Flow Machining, FRP, Hydraulics and Pneumatics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rahul.jpg?itok=4KFoMof0"
"Rajendra M Belokar","https://pec.ac.in/rajendra-m-belokar","Department of Production & Industrial Engineering","Professor","Ph.D. Engineering and Technology (Panjab University)","Manufacturing System Design, Value Engineering, Production and Operations management, TPM, and TQM","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rajendra.jpg?itok=-yLjd1hA"
"Suman Kant","https://pec.ac.in/suman-kant","Department of Production & Industrial Engineering","Associate Professor","Ph.D (IIT-R)","Quality engineering, Soft computing in Manufacturing, Continuous Casting, Industrial Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sumankant.jpg?itok=8lby5wjh"
"Amita Kumari","https://pec.ac.in/ee/amita-kumari","Electrical Engineering Department","Assistant Professor","M.Tech","Power system, Micro Grid, Power Electronics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/amita_0.jpg?itok=4gwJU94n"
"Dr. Rabia Kamra","https://pec.ac.in/dr-rabia-kamra","Mathematics","Assistant Professor","Ph.D. (Mathematics) IIT Delhi","Parallel Computing, Numerical Analysis","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/upload2.jpg?itok=ckHoD9Uw"
"Ankit Yadav","https://pec.ac.in/ankit-yadav","Mechanical Engineering","Assistant Professor","Ph.D.","Solar Energy, Refrigeration and Air Conditioning, Computational Fluid Dynamics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/ankit.jpg?itok=1DTMCEwm"
"Dr. Kulwinder Kaur","https://pec.ac.in/dr-kulwinder-kaur","Physics","Assistant Professor","Ph.D (Physics) (Panjab University Chandigarh), Post Doctorate (IIT Madras -Chennai)","Density Functional Theory, Thermoelectric materials, Electronic structure calculation, 2D materials,","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/75317309_3531207430252557_7759082188020121600_n.jpg?itok=PyS5EX24"
"Dr. Shilpi Chaudhary","https://pec.ac.in/dr-shilpi-chaudhary","Physics","Assistant Professor","M. Tech. (IIT Delhi), PhD (Physics, Lund University, Sweden), Postdoc (IIT Ropar, Punjab)","Hybrid Nanomaterials and Thin Films for Solar Cells Materials, Molecularly Imprinted Polymers based Nanomaterials and Thin films for Bio/Chemo- Sensing Platforms,Surface Engineering for Various Applications, Spectroscopic Investigations of Surfaces and Interfaces, X-ray photoelectron Spectroscopy, Sum-frequency Generation Vibrational Spectroscopy","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Shilpi.jpg?itok=u_S5skiY"
"Ravinderjit Singh Walia","https://pec.ac.in/pie/ravinderjit-singh-walia","Production and Industrial Engineering","Professor & Head","Ph.D. (IIT-R)","Advanced Manufacturing Processes, Production & Industrial Engineering, Human Factor Engineering and FEM","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rswalia.jpg?itok=mT0Av6_8"
