"Title","Profile Link","Department","Designation","Qualification","Research Interests","Profile Image"
"Mohammad Afaq Alam","https://pec.ac.in/mohammad-afaq-alam","Department of Civil Engineering","Associate Professor","M.Sc Engineering Civil (Hydraulics Structures), Ph.D","Irrigation & Hydraulics Structures Open Channel Flow & Hydraulics, Flow through Porous Media","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/mohammad.jpg?itok=bhLZgBmm"
"Mohit Kumar","https://pec.ac.in/mohit-kumar","Department of Civil Engineering","Assistant Professor","M.Tech","Free surface flow, Hydrology","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/mohit.jpg?itok=ngsgnZyG"
"Pardeep Kumar Gupta","https://pec.ac.in/pardeep-kumar-gupta","Department of Civil Engineering","Professor","PhD","Pavement Design and Materials, Bridge Design, Soil Mechanics & Foundation Engineering, Flyash, Concrete, Urban Transport","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/pardeep.jpg?itok=4OpCe-J_"
"R R Singh","https://pec.ac.in/r-r-singh","Department of Civil Engineering","Professor & Head","Ph.D in Civil Engineering","Civil Engineering specially construction Technology & Management with highways & Structures","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rrsingh.jpg?itok=wxXKIwKQ"
"R.K. Khitoliya","https://pec.ac.in/rk-khitoliya","Department of Civil Engineering","Professor","B.Tech.,M.Tech.,Ph.D.,LLB,LLM, MBA,FIE,MISGE","Geotechnical Investigation & Materials Characterization for river valley & other infrastructure projects. Environmental Impact Assessment & Environmen","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/rkkhitoliya.jpg?itok=2605YcvT"
"Roshan Lal","https://pec.ac.in/roshan-lal","Department of Civil Engineering","Professor","B.E (Civil Engg.), M.E (Civil Structures)","Development and Performance Evaluation of Special structural concretes, like SCC, HPFRC etc. Behavior of opening corner joints Soil structure intera","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/roshan.jpg?itok=wPwAFPyf"
"S K Singh","https://pec.ac.in/s-k-singh","Department of Civil Engineering","Professor","Ph.D","Geotechnical Engineering (Slope stability, Slope stabilization, pile foundation); Geoenvironment Engineering (Engineered landfills, Ash ponds)","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sksingh.jpg?itok=MBDoG6Y_"
"S.K. Sharma","https://pec.ac.in/sk-sharma","Department of Civil Engineering","Associate Professor","M.E. Environmental Engineering","Water Pollution & Air Pollution","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sksharma.jpg?itok=-iHLgjA2"
"Sarita Singla","https://pec.ac.in/sarita-singla","Department of Civil Engineering","Professor","M.E. (Structures) Civil Engineering","High Performance concrete, Use ofadmixtures in concrete, Analysis and structural design of RCC and Steel structures","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sarita.jpg?itok=HD0P2Aj1"
"Shakti Kumar","https://pec.ac.in/shakti-kumar","Department of Civil Engineering","Professor","Ph.D Civil","EIA Studies, Water Waste Water & Treatment Plant Design, Solid Waste Mangement Studies","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/shakti.jpg?itok=KrCy-bzO"
"Siby John","https://pec.ac.in/siby-john","Department of Civil Engineering","Professor","B.Tech., M.Tech., Ph.D.","Environmental Engineering, Water Quality, Industrial Pollution Control, Air pollution, Transport Environment interation, EIA, Climate Change.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/siby.jpg?itok=Y0q1Q7zH"
"Sovina Sood","https://pec.ac.in/sovina-sood","Department of Civil Engineering","Assistant Professor","M.E. Highways","Highways & Material Testing","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sovina.jpg?itok=ZADxreQ3"
"Surender Kumar Verma","https://pec.ac.in/surender-kumar-verma","Department of Civil Engineering","Professor","PhD (IIT, Roorkee)","Wind Engineering, concrete behaviour, Analysis and design of Structures","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/skverma.jpg?itok=anIJ85Wq"
"Tripta Kumari Goyal","https://pec.ac.in/tripta-kumari-goyal","Department of Civil Engineering","Professor","Ph.D. (Civil Engineering)","Traffic Engineering, Transport Planning and Highway Engineering","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/tripta.jpg?itok=BXSNi4c7"
